complaint_text,transport_type,location,duplicate_score,previous_complaints,severity_indicator,priority
AC not working on the local train near Borivali makes the ride uncomfortable.,Local Train,Borivali,0.474,16,comfort,Low
Morning rush hour saw the bus stuck for over an hour at Kurla.,Bus,Kurla,0.412,9,delay,Medium
Ticket checker at Virar behaved inappropriately.,Local Train,Virar,0.332,18,staff_behavior,Medium
Overcrowding on the bus near Dadar makes commuting difficult.,Bus,Dadar,0.284,3,comfort,Medium
Security guard at Virar used excessive force.,Bus,Virar,0.469,20,staff_behavior,Medium
Morning rush hour saw the metro stuck for over an hour at Borivali.,Metro,Borivali,0.572,4,delay,Medium
Overcrowding on the local train near Churchgate makes commuting difficult.,Local Train,Churchgate,0.794,2,comfort,Low
Staff at Kurla was rude and unhelpful to commuters.,Bus,Kurla,0.68,6,staff_behavior,Critical
Morning rush hour saw the bus stuck for over an hour at Thane.,Bus,Thane,0.39,12,delay,Medium
Customer service at the bus station in Churchgate ignored complaints.,Bus,Churchgate,0.759,17,staff_behavior,Medium
Morning rush hour saw the local train stuck for over an hour at Ghatkopar.,Local Train,Ghatkopar,0.367,15,delay,Medium
The local train at Thane is frequently delayed beyond schedule.,Local Train,Thane,0.551,13,delay,Medium
Exposed live wire spotted near the metro platform at Borivali.,Metro,Borivali,0.087,11,safety,High
Overcrowding on the bus near Andheri makes commuting difficult.,Bus,Andheri,0.218,20,comfort,Low
Dangerous crowding caused a stampede near the bus at Virar.,Bus,Virar,0.784,5,safety,High
Ticket checker at Thane behaved inappropriately.,Metro,Thane,0.148,20,staff_behavior,Medium
Staff at Ghatkopar was rude and unhelpful to commuters.,Local Train,Ghatkopar,0.349,3,staff_behavior,Medium
Smoke was seen coming from the local train at Churchgate.,Local Train,Churchgate,0.43,20,safety,Critical
Fire alarm triggered due to sparks near the metro platform at Andheri.,Metro,Andheri,0.866,17,safety,Critical
Graffiti and spilled liquids on the metro platform at Borivali.,Metro,Borivali,0.106,20,cleanliness,Medium
AC not working on the metro near Kurla makes the ride uncomfortable.,Metro,Kurla,0.937,3,comfort,Medium
The bus at Dadar is frequently delayed beyond schedule.,Bus,Dadar,0.977,6,delay,High
